fecha;PM10;Velocidad;Direccion;Temperatura;HR;Presion ;Rad Solar;Precipitacion;OZONO;NO;NO2;NOX;PM2.5;CO;SO2
1/12/2023 1:00;44;0;302;7,1;81,97;564;0;0;0,2;192,8;13,9;206,7;24;1,13;0
1/12/2023 2:00;50;0;349;5,9;82,48;564;0;0;0,2;264,9;13,2;278;30;1,13;0
1/12/2023 3:00;42;0;323;5,7;83,96;564;0;0;0,1;199,7;13,7;213,4;23;0,64;0
1/12/2023 4:00;30;0;311;4,9;83,77;564;0;0;0,2;144,2;9,6;153,9;18;0,4;0
1/12/2023 5:00;45;0,6;314;4,6;84,19;564;0;0;0,2;235,4;14,2;249,6;30;0,62;0
1/12/2023 6:00;54;0,8;31;6,3;86,02;564;0;0;0,3;174,1;17,1;191,3;30;0,68;0
1/12/2023 7:00;47;0,9;355;7,5;86,75;565;19;0;0,6;80,4;14,8;95,2;30;0,58;0
1/12/2023 8:00;68;1;336;9,9;87,1;565;163;0;2,8;61,9;14,1;76;34;0,55;0
1/12/2023 9:00;53;1;311;16,7;68,56;565;452;0;9,2;27,1;7,6;34,8;27;0,32;0
1/12/2023 10:00;20;1,4;155;19,8;43,56;565;602;0;15,3;8,3;0,4;8,7;8;0,09;0
1/12/2023 11:00;22;1,5;315;21,3;37,34;565;742;0;18,6;0;0;0;6;0,04;0
1/12/2023 12:00;17;1,8;181;22,3;32,72;564;770;0;19,6;0;0;0;7;0,04;0
1/12/2023 13:00;23;2;169;23,4;30;564;818;0;18,4;0;0;0;6;0,08;0
1/12/2023 14:00;24;2,2;176;24,1;28,57;563;751;0;18,3;0;0;0;5;0,08;0
1/12/2023 15:00;20;2,4;137;23,6;30,28;563;571;0;16,9;0;0;0;6;0,1;0
1/12/2023 16:00;24;2,1;117;23;32,3;563;344;0;14,8;9,8;2,6;12,3;8;0,14;0
1/12/2023 17:00;21;2,2;95;20,7;36,4;563;126;0;13,5;9,4;3,4;12,8;10;0,16;0
1/12/2023 18:00;23;1,7;115;16,9;49,05;563;2;0;11,2;8,5;6,7;15,2;10;0,2;0
1/12/2023 19:00;20;1,3;288;14,8;60,23;563;0;0;12,1;4,1;5;9;6;0,13;0
1/12/2023 20:00;0;1,8;204;14,2;64,61;564;0;0;11,7;6,4;5;11,4;8;0,15;0
1/12/2023 21:00;0;1,2;308;12,8;69,4;564;0;0;4;18,3;16,4;34,8;18;0,27;0
1/12/2023 22:00;0;0,6;303;10,5;73,6;564;0;0;1,3;52,8;17,6;70,3;17;0,57;0
1/12/2023 23:00;0;0,6;298;9,2;78,01;564;0;0;0,2;48,7;16,4;65,1;17;0,57;0
2/12/2023 0:00;0;0,6;316;8,1;79,28;564;0;0;0,3;105,1;14,9;119,9;26;0,89;0
2/12/2023 1:00;0;0,5;327;7,1;81,3;564;0;0;0,2;112,5;14;126,6;23;0,85;0
2/12/2023 2:00;0;0,5;341;6,4;82,45;563;0;0;0,2;159,4;13,4;172,8;25;1;0
2/12/2023 3:00;0;0,6;280;6,3;83,71;563;0;0;0,1;104,7;11,6;116,3;21;0,63;0
2/12/2023 4:00;0;0,5;301;5,3;83,29;563;0;0;0,3;167,7;12,1;179,9;31;0,78;0
2/12/2023 5:00;0;0,3;317;4,7;83,33;564;0;0;0,3;196,5;11,6;208,1;26;0,85;0
2/12/2023 6:00;0;0,4;319;4,7;83,95;564;0;0;0,2;163,3;12,4;175,8;32;0,71;0
2/12/2023 7:00;0;0,5;316;6,7;85,13;564;44;0;0,6;142,2;12,1;154,3;30;0,88;0
2/12/2023 8:00;0;1,7;338;12,8;79,72;565;255;0;3,9;56;11,5;67,4;31;0,47;0
2/12/2023 9:00;0;1;321;17,8;57,13;565;450;0;11,5;16,8;4,4;21,3;14;0,22;0
2/12/2023 10:00;0;1,2;313;20,3;44,76;565;623;0;16,2;7,4;0,8;8,2;14;0,14;0
2/12/2023 11:00;0;1,6;165;20,6;41,22;565;437;0;17;0;0;0;11;0,09;0
2/12/2023 12:00;0;1,8;114;20,5;42,83;564;393;0;15,8;0;0;0;6;0,12;0
2/12/2023 13:00;0;2,6;178;21,8;40,01;564;609;0;17;0;0;0;6;0,11;0
2/12/2023 14:00;0;3,4;170;21,6;38,38;563;526;0;17,9;0;0;0;9;0,13;0
2/12/2023 15:00;0;3,1;159;22,4;35,85;562;535;0;18,7;0;0;0;13;0,15;0
2/12/2023 16:00;0;2,1;148;23,5;33,3;562;365;0;18,3;6,2;1;7,2;10;0,16;0
2/12/2023 17:00;0;1,9;115;21;37,58;562;119;0;16,3;6,2;3;9,3;9;0,18;0
2/12/2023 18:00;0;1,6;137;16,5;54,33;562;1;0;14,4;4,8;5;9,8;11;0,2;0
2/12/2023 19:00;0;1,5;137;14,6;64,21;563;0;0;11,9;5,3;7,8;13,1;11;0,24;0
2/12/2023 20:00;0;0,5;244;13,4;69,96;564;0;0;9,8;3,4;8,3;11,7;12;0,22;0
2/12/2023 21:00;0;0,6;334;13,4;73,18;564;0;0;3,4;18,5;17,3;35,7;17;0,47;0
2/12/2023 22:00;0;0,6;330;12,3;72,47;564;0;0;0,4;26;21,5;47,5;21;0,56;0
2/12/2023 23:00;0;0,5;328;10,6;76,94;564;0;0;0,2;33,1;18,8;51,8;24;0,63;0
3/12/2023 0:00;0;0,4;338;9,1;79,64;564;0;0;0,1;82,8;15;97,8;24;1,08;0
3/12/2023 1:00;0;0,5;335;8,9;83,43;564;0;0;0,1;66,7;13,8;80,5;21;0,77;0
3/12/2023 2:00;0;0,5;320;8,8;84,33;563;0;0;0,2;94,3;12,5;106,9;19;0,8;0
3/12/2023 3:00;0;0,9;337;9,6;85,48;563;0;0;0,2;53,7;10,5;64,2;22;0,51;0
3/12/2023 4:00;0;1,3;342;10;82,61;563;0;0;0,2;11,2;10,5;21,8;20;0,3;0
3/12/2023 5:00;0;1,5;347;10,1;80,88;563;0;0;0,3;8;9,9;17,9;16;0,22;0
3/12/2023 6:00;0;0,9;337;10,1;80,84;564;0;0;0,5;17;9,7;26,7;26;0,23;0
